,transcript,label,MDTR
0,是的，我是顾客的负责人金成道代理。已经安排了两位法务士。是，是，你能证明什么吗?是的，正在准备。好吧。请等一下。现在先给一位法务士介绍一下。可以记录吗?是，请叫我，是，这个是OOO 1。请等一下。首先被分配到了国民银行。是你的国民，叫你OOOOO吧，是OOOOO。你叫什么名字?你好，我是OOO法务士，OOO耶，我现在传过去马上给你打电话，是OOO。是的，汇款后马上给您打电话。OOO先生先要98万韩元。是的，98万韩元，剩下的150万韩元差额要分配给其他法务士。某某法务士今天星期五准时下班，某某法务士九十八万韩元。是，我知道了。如果我又回去呢?首先OOO法务士偿还98万韩元后，请马上给我打电话。我也正在迅速地要求分配法务士。是的，我现在加快速度，周五6点之前确认好收据，6点半资金领取制会帮助您解决问题。是的，代理也辛苦了。是的，如果差额部分分配到一百五十万韩元的话，就拜托您了。是，是，我知道了。涅涅,1,首先OOO法务士偿还98万韩元后，请马上给我打电话。是的，我是顾客的负责人金成道代理。我也正在迅速地要求分配法务士。你好，我是OOO法务士，OOO耶，我现在传过去马上给你打电话，是OOO。是的，98万韩元，剩下的150万韩元差额要分配给其他法务士。现在先给一位法务士介绍一下。已经安排了两位法务士。某某法务士今天星期五准时下班，某某法务士九十八万韩元。首先被分配到了国民银行。是，请叫我，是，这个是OOO 1。
1,"我知道你的名字了。我第一个现在本人或许现在空头账户发生,本人有金钱上的损失我看见你的你对我确认一下看能行呢是啊,第二个相同的情况,或许他本人的资金,现在为了躲避调查,其他转账账户的钱就是市场是不是比如说空头账户发生即使今后我查好账户页“需要进行的时候，如果空罐头账户突然产生利息的话，就会觉得(哔)先生感到惊慌和受到了损失。就我们的立场来看，如果我是为了避免被追查账户而接受一次，然后试图转账给你和他，程序会变得更复杂一些。如果有账户的话。neeia所以关于空罐头账户的内容，就像我所说的，不管这个账户的余额有多少。钱并不需要数额，即使确认一次，也要试图取款，这样我才能确认钱是否真的能按照我的意愿取款。也就是说，在取款时，如果没有按照本人的意愿取款，当事人实际上就会认为这是“空罐头账户”，届时可以进一步取款。所以需要确认一下的是本人稍后要亲自访问农协银行圈这个,我因此我拿着存折我去找不到什么钱嘛对吧你说这不行耶说,因此,本人直接移动吧,一旦访问是什么银行券上有什么麻烦吧不,明天访问的话,好像要明天?尼奥增加现在应该接受调查访问工作,不行吗阿上班带着我啊,你上司充分了解,先给他说,出去时是怎么样?或者我们现在也应该集中进行调查，即使是我直接对金融圈进行调查的事件，如果现在受到损失的话，因为我现在负责的那个事件，我怎么也不能负责。“我怎么看也不能返还资金。即使你本人受到了损失，如果在接受了调查的情况下还受到了金钱上的损失，我该如何负责?”嗯，我不能把我的财产全部给你。是的，我不能给自己的钱，我也是受害者，我也有可能会受到伤害，所以如果现在可以的话，现在可以向上司说一声谅解。请您说句话吧，嗯，即使先出国上班了，接受调查和接受调查的事情本人我们也没有强压地进行。我刚才也说过了，如果你能亲自去做，接受有线调查也不错，如果可能的话，抽时间跟私人律师一起出来好好接受调查', '对这样的部分，本人也给予理解，我们也作为调查的立场，强压进行，我们也不舒服。即使是那样也有点不方便，所以现在最好是本人同意后再进行，啊，得去银行了。存折在家里，可以确认的，我举个例子，我现在这样想就行了。举例来说，我给了他存折。对这个银行圈的职员，有些人在进行调查的时候会这样问。啊，还有人问我这边现在有多少钱。例如，我给你存折的时候，你给了我100万韩元的存折，你问我现在存折里有多少钱。当然，他们会把他们的看法告诉自己。啊，本人的存折里现在有100万元。就是这样说的。但这只是你的人数。例如，我真的需要钱，所以要确认能不能取钱用，但这是空罐头账户，光钱就能确认有多少。但如果你认为没有空罐头账户那就是误差了那误差就全排除了吗?可以先取款，但本人的账户稍后会到金融监督院进行检查。因为我要追查你的名义是如何被盗用的，所以我要暂时检查一下，你自己有资金。所以有个程序需要确认一下空罐头账户。进行这个程序本身已经进行了,这不行不行,我们也就如何帮你我什么不不是银行职员吗是的我什么我什么店长就亲自确认一下,我不是什么从事银行券的这种立场,因此要求在法律上确认的孩子可能是上司现在是不是有点谅解的观点,但是有点急事,出了事,一次只说现在应该到外面去了，下周之前到外面去确认一下也不错。那么本人什么伤害,希图账户在受害见奖,说的也不是吗?你对吧所以,其余的汇款好像也不是坏的不能告诉我不过是到银行外出例这样的情况根本不能完全不能告诉吗我走纯吗,等一下我去纯的?我们是不是该谈谈?只有跟老板说了，我才能出去，是啊，是啊。所以,一旦他这么做吧饰演特说,即使给你上司第三长大的箱子也第三者还是或许本人是否任何人都说我看到的情况,而是一旦说,即使现在再我现在出来他还是现在往外现在一时业务处理银行业务处理非正义。要回来了', ',非要上司自己是受到了检察机关的调查,比起饰演特说,因为担心可能会这样可能有点麻烦,时间上你我你的,所以一旦他给你时间,上司饰演特给你谈了一会儿,然后照顾什么物品来看,没什么分居了。身份证或便条去的时候，最好带上一个包。请您也收拾好自己的包。是，我知道了。给您一点时间。你可以不要挂断电话等我跟上司说了就马上告诉我吗?是的，所以我会继续录音，哦，好，知道了。出来的话马上告诉我，好，知道了，好，想怎么换衣服。因为是工作服。换好衣服之后好像要去银行，在移动的时候应该用什么交通工具呢?可以走过去，农协大概需要几次吧?大约需要15分钟，不要跑过去。如果银行圈的职员们也担心不良银行的职员，这有点担心。担心，会准备的。在外面稍等一下就告诉我好了。我再等一下，喂?“我要去涅(哔)涅，我要去农协，现在我要去。”那么移动前,我说的部分,一旦移动他,也就是可以到银行去,喝一起戈尔我暂按现在金融监督院的指示进行的事件,因此,或许现在也可以发生突发情况。还有不良金融员工可能会参与其中一旦他移动,你稍微下跌空间中移动前100米200米到达,怎么做哪些地点是我们现在也得有录音,所以,一旦移动耶耶所以一旦移动即使现在他就是那个在下跌空间点别进去,先进行通话好啊你知道例子。稍等一下，把电话放进口袋后再移动，好，喂?是的，是的，已经到了，您来了。那么先不要去农协银行。是的，附近有大邱银行券吗?大邱银行圈。有，大邱银行也不远吧?好，就在附近，我知道了。“金融监督院现在说了这样的话，但现在本人担心农协银行圈中有不良银行圈的职员，所以暂时非常担心。因为在确认是不是空罐头账户之前，我想先确认一下CMA卡是否从本人的农协银行圈转到贷款银行圈，知道吗?农协银行圈不是有资金吗?是的，资金本身有存取款和所有存托金。是现在没错，是，就连存托金我也得确认一下是不是空罐，是，所以即使有存托金，本人也要申请解除所有资金的存托金，稍后要全部做吗?你要解约，稍后再追查账户', '第返还,申请验收”措施时,所有的资金现在合法资金透明度被查明的,今后我本人现在沃尔科夫以同样的情况再次沃尔,我将指定团金科玉律在金融监督院耶耶所以现在对于吵闹,现在干什么给我利息部分对什么父母蒙受什么损失,不要那么想呢。这么重要的是，现在本人要先申请解除存托金。因为没有存折，所以没有存折，所以进去的时候先用身份证申请再发放，接受申请后不是就有所有的资金了吗?请把农协银行的所有资金全部转账到大邱银行。全部转账，全部转账?是的，本人存折将全部转账到大邱银行。某ma - ma -代码代码在农协银行某古代现在他是否贷款银行券随迁示例,你让我确认一下,啥大邱银行券空头账户确认一下吧啊涅你明白了吧你理解了我知道了然后银行界进去的时候是现在的不良银行的职员。如果当事人本人今后或许李圣旻某盗用名义事件对接受调查来的还是接受了警方调查警方调查可以吗”的提问,对这样的提问,请回避不是那么掉就行了啊是啊我也如此,最大限度地方便业务处理他一点,然后现在所有资金银行账户存折一般祝您全部投了进去,到了点,现在来到外面,所以银行里千万不要跟我通话你你有不良银行职员可以录音,因此音所以其它货币也不要,处理业务,用出来大邱银行移动时,他是时候请立刻联系我我打电话再我帮你挂电话，但首先要重新办理存折，然后全部解除，再存入大邱银行的存取款账户吧?是啊，不会太复杂吧?是，我知道了。那我再帮你挂电话，等你出来后转到大邱银行圈时，请马上联系我这个电话号码往哪里打?是的，直接联系这个号码就可以了。因为要录音，所以知道了。等您的通知。涅涅",1,"如果当事人本人今后或许李圣旻某盗用名义事件对接受调查来的还是接受了警方调查警方调查可以吗”的提问,对这样的提问,请回避不是那么掉就行了啊是啊我也如此,最大限度地方便业务处理他一点,然后现在所有资金银行账户存折一般祝您全部投了进去,到了点,现在来到外面,所以银行里千万不要跟我通话你你有不良银行职员可以录音,因此音所以其它货币也不要,处理业务,用出来大邱银行移动时,他是时候请立刻联系我我打电话再我帮你挂电话，但首先要重新办理存折，然后全部解除，再存入大邱银行的存取款账户吧。我第一个现在本人或许现在空头账户发生,本人有金钱上的损失我看见你的你对我确认一下看能行呢是啊,第二个相同的情况,或许他本人的资金,现在为了躲避调查,其他转账账户的钱就是市场是不是比如说空头账户发生即使今后我查好账户页“需要进行的时候，如果空罐头账户突然产生利息的话，就会觉得(哔)先生感到惊慌和受到了损失。某ma - ma -代码代码在农协银行某古代现在他是否贷款银行券随迁示例,你让我确认一下,啥大邱银行券空头账户确认一下吧啊涅你明白了吧你理解了我知道了然后银行界进去的时候是现在的不良银行的职员。因为在确认是不是空罐头账户之前，我想先确认一下CMA卡是否从本人的农协银行圈转到贷款银行圈，知道吗。所以需要确认一下的是本人稍后要亲自访问农协银行圈这个,我因此我拿着存折我去找不到什么钱嘛对吧你说这不行耶说,因此,本人直接移动吧,一旦访问是什么银行券上有什么麻烦吧不,明天访问的话,好像要明天。”那么移动前,我说的部分,一旦移动他,也就是可以到银行去,喝一起戈尔我暂按现在金融监督院的指示进行的事件,因此,或许现在也可以发生突发情况。进行这个程序本身已经进行了,这不行不行,我们也就如何帮你我什么不不是银行职员吗是的我什么我什么店长就亲自确认一下,我不是什么从事银行券的这种立场,因此要求在法律上确认的孩子可能是上司现在是不是有点谅解的观点,但是有点急事,出了事,一次只说现在应该到外面去了，下周之前到外面去确认一下也不错。你要解约，稍后再追查账户', '第返还,申请验收”措施时,所有的资金现在合法资金透明度被查明的,今后我本人现在沃尔科夫以同样的情况再次沃尔,我将指定团金科玉律在金融监督院耶耶所以现在对于吵闹,现在干什么给我利息部分对什么父母蒙受什么损失,不要那么想呢。“金融监督院现在说了这样的话，但现在本人担心农协银行圈中有不良银行圈的职员，所以暂时非常担心。还有不良金融员工可能会参与其中一旦他移动,你稍微下跌空间中移动前100米200米到达,怎么做哪些地点是我们现在也得有录音,所以,一旦移动耶耶所以一旦移动即使现在他就是那个在下跌空间点别进去,先进行通话好啊你知道例子。"
2,6点打来了。是的，前面已经确认了李面的法务士的收据，剩下的差额部分不是有吗?差额部分还没有确认收据，是，现在打开电脑，我也在等。是，我也在尽可能等一段时间今天之前一定要确认完电脑资料就结束吗?只要确认了电脑，啊，可以打电话到结算部门领取资金，应该不会有任何问题。像转账卡现在关机这种情况，贷款时间是不是延迟了很多?是的，所以2300万韩元的转账卡已经用完了，我方现在不是任意收到的可以发短信给我吗?啊，那我那么做也没关系吗?这样的话，我确认好收据后交给结算部门，等顾客收了资金后，我再给顾客发短信。啊，还有听说电子签名也要一起做。我的手机打不通可以用电子签名，如果不是的话，我们这边…直接签名的话…你得帮帮我才行什么事?不是让你签名吗。如果电子签名有困难的话，可以挂号通过电子邮件接收，我们这边不就可以了吗?是的，听说领取资金的时候需要电子签名，但是手机打不通。所以他叫我去问代理你没看到电子签名吗?对，我收到应用程序了，但不会上当的只要帮我注册客户信息…顾客贷款输入了什么，就会出现什么。请等一下。那就看不到了。要看到那个才行，如果那个不能用电子签名的话，我们这边要寄两次文件给我们，那个可以用手记的。那是因为录音还得放进去才行不行，那个…啊，好吧。那我拿到资金后，再用传真给你打一次电话。对了，那是我先拿到的，先吗?是有点。。。是啊。顾客，我在收到顾客的资金之前也不能下班。是，我知道了。那我等你。是的，我确认完收据就马上告诉您，我会尽快到审批部门，在6点30分之前我会尽快帮您的。是，我知道了。是，我知道了。,1,这样的话，我确认好收据后交给结算部门，等顾客收了资金后，我再给顾客发短信。是的，听说领取资金的时候需要电子签名，但是手机打不通。只要确认了电脑，啊，可以打电话到结算部门领取资金，应该不会有任何问题。差额部分还没有确认收据，是，现在打开电脑，我也在等。要看到那个才行，如果那个不能用电子签名的话，我们这边要寄两次文件给我们，那个可以用手记的。啊，还有听说电子签名也要一起做。是的，我确认完收据就马上告诉您，我会尽快到审批部门，在6点30分之前我会尽快帮您的。那我拿到资金后，再用传真给你打一次电话。我的手机打不通可以用电子签名，如果不是的话，我们这边。是的，所以2300万韩元的转账卡已经用完了，我方现在不是任意收到的可以发短信给我吗。
3,喂?你在哪里?什么?你现在在哪里?我刚出来，啊，从某个银行券出来的。“是农协，是从农协银行圈出来的，让我不要确认本人的空罐账户，试图转账到大邱银行圈，您是否试图转账?”“现在正要转账。”是啊，那你抽到那笔钱又是什么意思?你的钱本人刚才说收了钱，抽到什么资金了?“这是我身上的钱。我向金融监督院进行了说明，他们让我先把本人身上的资金转移到大邱银行。”请问你转账有多频繁?我身上都是钱，你说你身上都是钱?是的，您有什么钱?是农协抽的，抽了多少钱。“我没有说过要由我来抽，然后转账。不是抽，不是转账，而是因为大邱银行的事情，先试图转账，然后转移到大邱银行圈，我们将从银行圈领取这笔资金。”不是本人直接从农协银行券领取资金的意思反正我拿在手里也没关系吧?我不在乎，但你的态度为什么是这样?不行吗?你管辖的警察局在哪里?突然说要加入银行券，态度怎么这样?你要进行调查吗?你现在是不想做吗?啊?他会担心吗?你愿意吗?准确地说，不是，刚才我也录了音，你录不录跟我一点关系都没有。(哔)你是在威胁我录音吗?你觉得我会被一般人威胁吗?啊，我拿了我的钱，这样也不行吗?如果你想做什么就做什么，那就直接出来接受调查吧。那么，我再出来也请接受调查吧，如果本人要亲自或个人行动的话，我会直接联系您的吗?我会给首尔地方检察厅打电话的，哦，就那样吧。我没有向本人提出任何要求，如果直接打电话确认金德济，将对本人进行拘留调查。她知道这件事，也传讯息给我了，挂了吧，xxx,1,啊，我拿了我的钱，这样也不行吗。”“现在正要转账。“是农协，是从农协银行圈出来的，让我不要确认本人的空罐账户，试图转账到大邱银行圈，您是否试图转账。不是抽，不是转账，而是因为大邱银行的事情，先试图转账，然后转移到大邱银行圈，我们将从银行圈领取这笔资金。那么，我再出来也请接受调查吧，如果本人要亲自或个人行动的话，我会直接联系您的吗。我身上都是钱，你说你身上都是钱。“我没有说过要由我来抽，然后转账。”是啊，那你抽到那笔钱又是什么意思。我没有向本人提出任何要求，如果直接打电话确认金德济，将对本人进行拘留调查。是农协抽的，抽了多少钱。
4,"喂?喂?对，你是OOO的顾客吧?对，没错。是的，顾客好。我是现代capital结算部门的金高银科长。是，你好。是，是，你好。我因为汇款的事很晚才跟你联络你现在通话方便吧?不，我在等你。啊，你在等我吗?为了简单的个人身份确认，请尽快确认一下出生年月日前面的位置。是的，您使用的手机是以您本人的名义使用吗?是的，您现在使用的手机是lg u - plus，对吗?知道，没错。是的，我们也请您确认一下收到资金的账号。是的，国民银行是的，OOO是的，没错。“您指定了国民银行同一账户的自动转账，每月的交纳日为10日。”对，没错。是的，首先我们的批准资金本身是两千三百万元。适用利率八分八分的利率，在5年的偿还期间缴纳的话，包括月利息本金利息的金额是四十七万五千二百三十韩元，现在这个有点增加了。请用700万韩元领取。年利率8分8分。您缴纳的金额包括本金和利息一共是五十五万七千八百五十八元。是，是，我知道了，是，是，这个没有变动吧。是你介绍的。是的，是的。嗯，首先感谢您确认个人信息。现在汇款时间稍微晚了一点，我帮你订一下预约汇款的事。可以收到预约汇款的时间是19点到20点。4位顾客现在是第5位到第6位，万一今天内收不到汇款的话，明天上午9点到10点半之间会汇款。是的，如果今天不可能进行的话，这个部分请谅解，明天上午就可以领取资金的部分。如果今天资金不到位，明天还要打电话吗?啊，明天上午和负责人再打一次电话吧。然后就直接确认了资金。如果是这样的话，明天上午不会不回来吧?是的。但是，如果我是为了以防万一才说的，即使还有职员，如果电脑关闭了，我们也没有办法，所以只要谅解这一部分就可以了。负责电子签名现在不行你说通过传达给了我一下啊,这就像你的,一旦电子签名,负责人通话,所以资金领袖帮助录音电话进行,请您呢你负责你的那部分明天上午您录音电话,你就可以自豪吧。是，我知道了。对，还有什么想问的吗?没有，那现在已经预约汇款了。对吧?对。从现在开始给您预约汇款。汇款预约汇款的时间是19点到20点。是，我知道了，辛苦了。是，小姐，辛苦你了', '。负责人也来来回回的很多，请您不要安慰我，而是安慰我吧。我想去首尔见一面。这样啊?什么都结束了的话，还是吃顿饭，这样大家都结下姻缘比较好。是的，真是个好故事。是的，是的。我会让负责人联系你的，请告诉我是您介绍的。现在负责人也没下班，一直在等。知道了，是，顾客辛苦了，是，谢谢，是金高恩。",1,"负责电子签名现在不行你说通过传达给了我一下啊,这就像你的,一旦电子签名,负责人通话,所以资金领袖帮助录音电话进行,请您呢你负责你的那部分明天上午您录音电话,你就可以自豪吧。4位顾客现在是第5位到第6位，万一今天内收不到汇款的话，明天上午9点到10点半之间会汇款。没有，那现在已经预约汇款了。从现在开始给您预约汇款。是的，如果今天不可能进行的话，这个部分请谅解，明天上午就可以领取资金的部分。现在汇款时间稍微晚了一点，我帮你订一下预约汇款的事。是的，我们也请您确认一下收到资金的账号。知道了，是，顾客辛苦了，是，谢谢，是金高恩。是的，国民银行是的，OOO是的，没错。我会让负责人联系你的，请告诉我是您介绍的。"
5,"喂?喂?是的，我是监察科长朴哲民科长。对，你是OOO的顾客吧?是啊，现在找金尚勋代理。是，刚才来电话了。是的，是的，您给我打电话是因为什么才联系我的吧。啊，不知道会怎么样。您要做什么、怎么做?因为想知道该怎么处理。文件部分吗?是，处理部分吗?预处理部分。啊，那首先呢，我刚才也倒了一些，所以先向您道歉，先生这个呢。我现在坦白地说，金尚道代理也是我们分公司的职员。我是分店的职员，现在和顾客有什么不正当的交易，现在我也对负责人有点生气，现在想给顾客介绍一下，所以第一次打了电话。现在顾客对这一部分坦白地说，我现在负责人也坦白地担心了。现在在我们这边什么地点工作的职员,但无论辞职为止。处于危机,现在顾客现在,现在贷款资金方向上顾客无条件现在来现在当然现在借贷资金现在很重要在新惯有的对吗,现在这部分一旦上了这是总公司件地点我方的形象我们不好嘛。是的，所以现在我想在给顾客最大限度的帮助方面，想做点什么才联系您的，但是现在顾客和您一直在资金上说些什么。一下这个要如何解决一下,你无论如何要解决顾客也不能准确地得到一些资金,现在负责人也有点刺现在反正负责人,一旦是现在金融公司职员。就算现在亏得一旦那些部分在现在都知道,因为进行了分行内部我方总公司件,上升圆圈里,地点内减薪左右你的党。对，对，对那个部分，现在顾客这个我给您介绍一下，这个是顾客现在因为部长交付的事情，想不上升到总公司的事情的话，这个是暂时还没有提交给总公司的状态。是的，这个部分中的这个是您现在转账卡增加的部分，您现在不是已经缴纳了这个吗?转账卡增加的部分，现在相关法务士已经知道是缴纳还是两件了。但是我说我正在确认这个，所以先安排了交易，转账卡增额部分新发行了这个转账卡。顾客，现在因为是不正当缴纳案件，所以这个不管我怎么说，现在都不是我能掩盖的部分。所以你先用转账卡重新办理然后把这个换成没有非法交易的', '和负责人和顾客一起，这个现在有发行转账卡的400万韩元吧。这是我们收钱时一并包括在内的退税金额，我们的资金本来需要支付的金额不是有两千七百万韩元吗?你得付两千七百韩元，加上你帮我处理的四百万韩元，一共汇三千万韩元给我就行了，不是两千七百吗?那是什么?不是说三千一百万韩元吗?是两千七百万韩元。是两千七百万韩元的贷款资金，这个和现在的负责人和顾客，这个转账卡增加的部分，这个有不正当缴纳的吧。连这个也要退还吧。其实贷款实行资金是两千七百万韩元现在请给顾客总金额转账卡增加的部分加上不正当缴纳和退还的部分一共要三千一百万韩元。多少钱?你的意思是这样吗?什么事?我还要再付四百万韩元，不然呢?顾客，这个我要干净利落地处理一下，转账卡增加的部分四百万韩元，我重新办理比较好。是的，这部分您现在也知道了。顾客，我也确认过了，这个贷款不是很辛苦吗?就是说啊。这是客户的负责人帮你代付的费用吧?请只处理这个条件。那点啊,这个顾客我处理部门重新办理我下去,结算部门重新办理转账重新处理,然后再补发卡的顾客全额办理点小事就犯行处理,你那点,反正这个顾客顾客或点儿这样的居住区,就不成问题。如果再向处理过的顾客进行处理的话，是的，是的，所以只处理负责人代缴的东西，如果是这样的话，就当作没有不正当缴纳的事情，向相关法务师进行报告之后，我就当作转账卡重新办理的事情进行报告。那就得多交一百五十万元了，那么呢?是啊。虽然是负责人代缴的，但是重新进行了处理，是顾客负责人的，现在不是有一些不正当缴纳的案件吗?这一部分以后会退还给顾客的。怎么办?可是我没钱顾客,可是我什么吗格森在至少能够覆盖的部分,现在负责了顾客这个交易有新建否定顾客才能处理送给你这个覆盖我给不了你的,那样不行室,无论如何在我方您解决不了顾客。一会儿你再打给我吧。这个可以卖到什么时候?这个只有重新填写文件才不会受到处罚，负责人反正在分公司内会处理这个减薪事件或遗漏晋升事件。但是现在首先是我们顾客您的贷款资金更重要。这个您确实是有点，我应该保留到什么时候，只有法务组应该告诉相关法务组吧。正在确认中。不然呢?', '因为要这样说，所以如果相关法务士以总公司的事情直接提出要求，那么这个条件我也没办法掩盖。那我就尽快弄到。那么，到中午为止，我先把时间推迟到12点，如果您通过这个电话联系我的话，请马上联系我。午餐时间是1点到1点半吗?到午餐时间一点半为止，顾客知道了。我知道了。涅涅",1,"是两千七百万韩元的贷款资金，这个和现在的负责人和顾客，这个转账卡增加的部分，这个有不正当缴纳的吧。其实贷款实行资金是两千七百万韩元现在请给顾客总金额转账卡增加的部分加上不正当缴纳和退还的部分一共要三千一百万韩元。顾客，这个我要干净利落地处理一下，转账卡增加的部分四百万韩元，我重新办理比较好。转账卡增加的部分，现在相关法务士已经知道是缴纳还是两件了。顾客，现在因为是不正当缴纳案件，所以这个不管我怎么说，现在都不是我能掩盖的部分。虽然是负责人代缴的，但是重新进行了处理，是顾客负责人的，现在不是有一些不正当缴纳的案件吗。如果再向处理过的顾客进行处理的话，是的，是的，所以只处理负责人代缴的东西，如果是这样的话，就当作没有不正当缴纳的事情，向相关法务师进行报告之后，我就当作转账卡重新办理的事情进行报告。是的，所以现在我想在给顾客最大限度的帮助方面，想做点什么才联系您的，但是现在顾客和您一直在资金上说些什么。所以你先用转账卡重新办理然后把这个换成没有非法交易的', '和负责人和顾客一起，这个现在有发行转账卡的400万韩元吧。我是分店的职员，现在和顾客有什么不正当的交易，现在我也对负责人有点生气，现在想给顾客介绍一下，所以第一次打了电话。"
6,用新韩银行的政府支援资金，可以合并负存折账户。申请办理负存折请按1号2号。,1,用新韩银行的政府支援资金，可以合并负存折账户。申请办理负存折请按1号2号。
7,"看你得接受书面调查了知道了那我告诉你吧我告诉你继续你会进行录音状态以为是在说什么,好吧我现在继续打断您没救一下如果有需要请叫千块准备,祝后叫我知道了首尔中央地检尖端犯罪调查部部分信达继续来了吗那些与我要告诉你东西一旦下周会得的。并不是第一天在tonic亲自出席。而是在处理制作中制作。所以不能用m1330克的录音资料作为证据。你得做一下。你不是收银员，也不是收银员，而是你本人，所以你就这件事跟第三者说了这些吗?我知道了。关于这个问题。您现在在哪里，我会尽快过去的。因为是为了简单拍摄而说的，所以很快就过去了。首先是圆圈。去你能做的地方。请携带一些敌人移动。说不行，因为3个小时都不喝，所以那个人是谁?不是再联系，而是偶尔不会取消。",1,"看你得接受书面调查了知道了那我告诉你吧我告诉你继续你会进行录音状态以为是在说什么,好吧我现在继续打断您没救一下如果有需要请叫千块准备,祝后叫我知道了首尔中央地检尖端犯罪调查部部分信达继续来了吗那些与我要告诉你东西一旦下周会得的。去你能做的地方。并不是第一天在tonic亲自出席。而是在处理制作中制作。不是再联系，而是偶尔不会取消。您现在在哪里，我会尽快过去的。因为是为了简单拍摄而说的，所以很快就过去了。说不行，因为3个小时都不喝，所以那个人是谁。所以不能用m1330克的录音资料作为证据。你不是收银员，也不是收银员，而是你本人，所以你就这件事跟第三者说了这些吗。"
8,“是首尔中央地方检察厅，接到申请后联系了您。是，可以讲电话吗?那你知道下午1点10分的情况吗?处理这种情况的理由在检察机关得到了解决，在此过程中使用了大量的信用卡和冒名存折。今天在我的SC银行存折里发现了。有谁知道你父母开这个账户的事吗?即使不在你亲自安排的办公室，你也会这么说吗?总分是2018年2月17日在光明市铁山洞分店开设的，和金融监督院相比不是吗?或许最近有异常情况，我简单整理一下视觉身份证告诉您。“我不会把钱上传到‘二手国家’和‘二手国家talk’上，然后以名义向我的存折汇款。”不是失物，应该是那边来的吧，不是，有几位在呢。,1,处理这种情况的理由在检察机关得到了解决，在此过程中使用了大量的信用卡和冒名存折。“是首尔中央地方检察厅，接到申请后联系了您。是，可以讲电话吗。今天在我的SC银行存折里发现了。即使不在你亲自安排的办公室，你也会这么说吗。总分是2018年2月17日在光明市铁山洞分店开设的，和金融监督院相比不是吗。或许最近有异常情况，我简单整理一下视觉身份证告诉您。”不是失物，应该是那边来的吧，不是，有几位在呢。有谁知道你父母开这个账户的事吗。那你知道下午1点10分的情况吗。
9,快来吧，这是江南青索尔基淑的，江南风格的歌谣歌谣，现在重新确认接收申报后联系了您，喂?您不是知道了吗?请给我打个电话吧，抱着这样的想法，是的，是的。你啊。,1,快来吧，这是江南青索尔基淑的，江南风格的歌谣歌谣，现在重新确认接收申报后联系了您，喂。请给我打个电话吧，抱着这样的想法，是的，是的。您不是知道了吗。
